FileName 	 Orbit 	 I/E 	 Pos 	 F/P 	 Ls 	 Loct 	 lat 	 lon 
MIR_2A_ORB001896_N2_E_P1_06_F 	 001896 	 E 	 06 	 F 	  166.06 	   22.57 	   83.79 	  170.48 
MIR_2A_ORB001924_N2_E_P1_06_F 	 001924 	 E 	 06 	 F 	  167.30 	   20.43 	   81.21 	   55.46 
MIR_2A_ORB001929_N1_I_P1_06_F 	 001929 	 I 	 06 	 F 	  167.51 	   17.57 	  -49.32 	 -122.20 
MIR_2A_ORB001963_N1_I_P1_06_F 	 001963 	 I 	 06 	 F 	  169.02 	   17.73 	  -37.58 	  -15.40 
MIR_2A_ORB001963_N2_E_P1_06_F 	 001963 	 E 	 06 	 F 	  169.03 	   19.07 	   74.13 	   -3.13 
MIR_2A_ORB002236_N1_I_P1_06_F 	 002236 	 I 	 06 	 F 	  181.45 	    6.28 	   79.65 	 -107.56 
MIR_2A_ORB002236_N2_E_P1_06_F 	 002236 	 E 	 06 	 F 	  181.46 	    5.98 	  -28.21 	 -119.53 
MIR_2A_ORB002266_N1_I_P1_06_F 	 002266 	 I 	 06 	 F 	  182.84 	    7.33 	   85.95 	  128.13 
MIR_2A_ORB002309_N1_I_P1_06_F 	 002309 	 I 	 06 	 F 	  184.84 	   15.47 	   86.34 	   97.29 
MIR_2A_ORB002309_N2_E_P1_06_F 	 002309 	 E 	 06 	 F 	  184.86 	    5.82 	  -53.03 	  -56.78 
MIR_2A_ORB002358_N1_I_P1_06_F 	 002358 	 I 	 06 	 F 	  187.14 	   16.68 	   80.47 	  150.45 
MIR_2A_ORB002361_N1_E_P1_06_F 	 002361 	 E 	 06 	 F 	  187.30 	    5.60 	  -63.36 	 -111.78 
MIR_2A_ORB002440_N1_I_P1_06_F 	 002440 	 I 	 06 	 F 	  191.03 	   17.03 	   70.98 	  -35.75 
MIR_2A_ORB002446_N1_I_P1_06_F 	 002446 	 I 	 06 	 F 	  191.31 	   17.05 	   70.24 	  152.42 
MIR_2A_ORB002526_N1_I_P1_06_F 	 002526 	 I 	 06 	 F 	  195.14 	   17.27 	   58.56 	   21.10 
MIR_2A_ORB002530_N1_I_P1_06_F 	 002530 	 I 	 06 	 F 	  195.34 	   17.27 	   57.71 	  -93.40 
MIR_2A_ORB002898_N1_I_P1_06_F 	 002898 	 I 	 06 	 F 	  213.40 	    4.00 	  -64.16 	  -29.48 
MIR_2A_ORB002898_N2_E_P1_06_F 	 002898 	 E 	 06 	 F 	  213.42 	    6.97 	   45.26 	    6.96 
MIR_2A_ORB002976_N1_E_P1_06_F 	 002976 	 E 	 06 	 F 	  217.34 	    7.90 	   60.18 	  -56.51 
MIR_2A_ORB003146_N1_E_P1_06_F 	 003146 	 E 	 06 	 F 	  225.98 	    9.23 	   66.33 	  128.73 
MIR_2A_ORB003234_N2_E_P1_06_F 	 003234 	 E 	 06 	 F 	  230.49 	    9.12 	   64.03 	  123.76 
MIR_2A_ORB003264_N1_I_P1_06_F 	 003264 	 I 	 06 	 F 	  232.02 	   18.37 	  -15.50 	  130.78 
MIR_2A_ORB003295_N2_E_P1_06_F 	 003295 	 E 	 06 	 F 	  233.63 	    8.47 	   58.30 	  164.71 
MIR_2A_ORB003427_N2_E_P1_06_F 	 003427 	 E 	 06 	 F 	  240.46 	    6.22 	    7.85 	  -56.88 
MIR_2A_ORB003464_N1_I_P1_06_F 	 003464 	 I 	 06 	 F 	  242.36 	   15.38 	   56.64 	  107.33 
MIR_2A_ORB003492_N2_E_P1_06_F 	 003492 	 E 	 06 	 F 	  243.83 	    5.37 	  -21.52 	 -134.68 
MIR_2A_ORB003532_N1_E_P1_06_F 	 003532 	 E 	 06 	 F 	  245.91 	    4.83 	  -35.15 	  149.98 
MIR_2A_ORB003598_N1_E_P1_06_F 	 003598 	 E 	 06 	 F 	  249.34 	    3.78 	  -51.38 	   41.66 
MIR_2A_ORB003657_N1_I_P1_06_F 	 003657 	 I 	 06 	 F 	  252.38 	   14.55 	   60.02 	  -38.27 
MIR_2A_ORB003717_N1_I_P1_06_F 	 003717 	 I 	 06 	 F 	  255.50 	   14.68 	   58.82 	   43.76 
MIR_2A_ORB003772_N1_I_P1_06_F 	 003772 	 I 	 06 	 F 	  258.36 	   14.97 	   56.68 	  -88.70 
MIR_2A_ORB003803_N2_E_P1_06_F 	 003803 	 E 	 06 	 F 	  259.98 	   21.03 	  -56.98 	 -175.44 
MIR_2A_ORB003833_N1_I_P1_06_F 	 003833 	 I 	 06 	 F 	  261.52 	   15.60 	   51.10 	  -28.31 
MIR_2A_ORB003860_N2_E_P1_06_F 	 003860 	 E 	 06 	 F 	  262.93 	   19.28 	  -35.40 	  -33.89 
MIR_2A_ORB004092_N2_E_P1_06_F 	 004092 	 E 	 06 	 F 	  274.86 	    7.58 	   40.09 	   -6.56 
MIR_2A_ORB004110_N2_E_P1_06_F 	 004110 	 E 	 06 	 F 	  275.78 	    8.00 	   46.48 	 -156.67 
MIR_2A_ORB004118_N2_E_P1_06_F 	 004118 	 E 	 06 	 F 	  276.19 	    8.17 	   48.52 	  -23.71 
MIR_2A_ORB004162_N2_E_P1_06_F 	 004162 	 E 	 06 	 F 	  278.44 	    8.77 	   54.53 	  163.50 
MIR_2A_ORB004914_N1_E_P1_06_F 	 004914 	 E 	 06 	 F 	  315.44 	    2.45 	  -68.62 	  100.51 
MIR_2A_ORB004932_N1_E_P1_06_F 	 004932 	 E 	 06 	 F 	  316.28 	    1.88 	  -70.69 	  -64.08 
MIR_2A_ORB004966_N1_E_P1_06_F 	 004966 	 E 	 06 	 F 	  317.88 	    0.55 	  -73.22 	   21.09 
MIR_2A_ORB004985_N1_I_P1_06_F 	 004985 	 I 	 06 	 F 	  318.75 	   15.82 	   60.97 	   75.07 
MIR_2A_ORB005006_N1_E_P1_06_F 	 005006 	 E 	 06 	 F 	  319.74 	   22.63 	  -73.00 	  -74.66 
MIR_2A_ORB005017_N2_E_P1_06_F 	 005017 	 E 	 06 	 F 	  320.25 	   22.12 	  -72.22 	  -37.57 
MIR_2A_ORB005028_N2_E_P1_06_F 	 005028 	 E 	 06 	 F 	  320.76 	   21.65 	  -71.11 	   -0.05 
MIR_2A_ORB005037_N2_E_P1_06_F 	 005037 	 E 	 06 	 F 	  321.18 	   21.28 	  -69.92 	   96.36 
MIR_2A_ORB005046_N2_E_P1_06_F 	 005046 	 E 	 06 	 F 	  321.59 	   20.93 	  -68.48 	 -166.79 
MIR_2A_ORB005055_N2_E_P1_06_F 	 005055 	 E 	 06 	 F 	  322.01 	   20.60 	  -66.74 	  -69.70 
MIR_2A_ORB005075_N2_E_P1_06_F 	 005075 	 E 	 06 	 F 	  323.02 	   19.93 	  -61.40 	    9.68 
MIR_2A_ORB005085_N1_I_P1_06_F 	 005085 	 I 	 06 	 F 	  323.38 	   17.03 	   42.47 	  104.43 
MIR_2A_ORB005095_N2_E_P1_06_F 	 005095 	 E 	 06 	 F 	  323.85 	   19.45 	  -55.11 	 -153.34 
MIR_2A_ORB005104_N1_I_P1_06_F 	 005104 	 I 	 06 	 F 	  324.25 	   17.32 	   33.65 	  -76.94 
