Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
    6.58 	  186.75 	    0.91 	 8.531e-04 	 9.921e-05 	 9.279e-06 	 8.935e-07 	 1.932e-06 	 1.166e-07 
   9.15 	  182.55 	    0.59 	 8.452e-04 	 9.990e-05 	 9.303e-06 	 5.871e-07 	 2.016e-06 	 1.154e-07 
  11.70 	  177.80 	    0.71 	 8.562e-04 	 1.463e-04 	 9.568e-06 	 5.477e-07 	 2.036e-06 	 1.341e-07 
  14.26 	  173.09 	    0.64 	 9.120e-04 	 1.795e-04 	 9.819e-06 	 7.372e-07 	 2.049e-06 	 8.104e-08 
  16.81 	  168.79 	    0.52 	 9.752e-04 	 1.786e-04 	 9.684e-06 	 7.189e-07 	 1.972e-06 	 8.528e-08 
  19.36 	  165.83 	    0.71 	 1.012e-03 	 1.774e-04 	 1.008e-05 	 8.212e-07 	 2.074e-06 	 5.904e-08 
  23.12 	  166.80 	    0.49 	 1.266e-03 	 1.819e-04 	 1.087e-05 	 8.224e-07 	 2.277e-06 	 7.038e-08 
  26.86 	  165.34 	    0.62 	 1.369e-03 	 1.422e-04 	 1.201e-05 	 8.992e-07 	 2.418e-06 	 8.579e-08 
  29.38 	  161.62 	    0.70 	 1.093e-03 	 1.373e-04 	 1.056e-05 	 5.701e-07 	 2.381e-06 	 7.524e-08 
  31.89 	  162.54 	    0.50 	 1.342e-03 	 1.266e-04 	 1.274e-05 	 8.125e-07 	 2.704e-06 	 9.032e-08 
  36.84 	  163.61 	    0.59 	 1.401e-03 	 1.735e-04 	 1.339e-05 	 1.076e-06 	 2.916e-06 	 1.582e-07 
  41.78 	  161.58 	    1.02 	 1.129e-03 	 6.823e-05 	 1.139e-05 	 6.838e-07 	 2.566e-06 	 1.293e-07 
  44.26 	  163.76 	    1.04 	 1.326e-03 	 6.244e-05 	 1.225e-05 	 7.528e-07 	 2.666e-06 	 1.601e-07 
  46.73 	  164.84 	    1.20 	 1.265e-03 	 9.266e-05 	 1.180e-05 	 6.506e-07 	 2.658e-06 	 1.831e-07 
  49.20 	  162.96 	    1.48 	 1.148e-03 	 6.290e-05 	 1.182e-05 	 7.124e-07 	 2.689e-06 	 2.172e-07 
  51.66 	  161.88 	    2.01 	 1.197e-03 	 7.709e-05 	 1.199e-05 	 8.739e-07 	 2.731e-06 	 3.041e-07 
  54.11 	  161.42 	    2.61 	 1.279e-03 	 1.117e-04 	 1.226e-05 	 8.935e-07 	 2.777e-06 	 3.902e-07 
  56.56 	  158.67 	    3.12 	 1.274e-03 	 1.173e-04 	 1.244e-05 	 9.174e-07 	 2.946e-06 	 5.197e-07 
  59.00 	  154.99 	    3.61 	 1.273e-03 	 1.160e-04 	 1.246e-05 	 1.029e-06 	 3.134e-06 	 6.579e-07 
  61.43 	  150.67 	    4.12 	 1.271e-03 	 1.167e-04 	 1.308e-05 	 1.396e-06 	 3.418e-06 	 8.185e-07 
  63.86 	  149.82 	    4.51 	 1.357e-03 	 1.665e-04 	 1.395e-05 	 1.775e-06 	 3.791e-06 	 1.036e-06 
  66.28 	  156.87 	    4.77 	 1.692e-03 	 2.335e-04 	 1.540e-05 	 2.248e-06 	 4.180e-06 	 1.294e-06 
  69.88 	  162.20 	    4.94 	 2.285e-03 	 3.912e-04 	 1.833e-05 	 3.896e-06 	 4.837e-06 	 1.782e-06 
  73.48 	  160.28 	    4.79 	 2.494e-03 	 5.357e-04 	 2.039e-05 	 5.554e-06 	 5.501e-06 	 2.465e-06 
  77.06 	  157.08 	    4.41 	 2.804e-03 	 5.140e-04 	 2.395e-05 	 8.157e-06 	 6.110e-06 	 3.312e-06 
  80.63 	  154.39 	    4.76 	 3.760e-03 	 8.651e-04 	 3.004e-05 	 1.393e-05 	 6.231e-06 	 3.784e-06 
  83.01 	  152.97 	    5.69 	 4.686e-03 	 1.509e-03 	 3.637e-05 	 1.957e-05 	 6.145e-06 	 3.830e-06 
  86.52 	  147.73 	    7.63 	 4.144e-03 	 1.594e-03 	 3.167e-05 	 1.626e-05 	 5.173e-06 	 2.643e-06 
