Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   17.58 	  140.74 	    1.62 	 1.128e-03 	 1.410e-04 	 1.323e-05 	 9.659e-07 	 2.673e-06 	 2.118e-07 
  20.19 	  146.99 	    1.84 	 1.192e-03 	 2.047e-04 	 1.212e-05 	 8.500e-07 	 2.620e-06 	 2.336e-07 
  22.78 	  154.75 	    1.72 	 1.323e-03 	 1.903e-04 	 1.180e-05 	 8.277e-07 	 2.526e-06 	 1.638e-07 
  25.37 	  159.10 	    1.78 	 1.179e-03 	 1.348e-04 	 1.364e-05 	 8.024e-07 	 2.933e-06 	 1.646e-07 
  29.21 	  177.31 	    2.36 	 1.440e-03 	 1.418e-04 	 1.493e-05 	 1.186e-06 	 3.091e-06 	 2.266e-07 
  33.04 	  193.05 	    2.47 	 1.330e-03 	 1.117e-04 	 1.216e-05 	 4.767e-07 	 2.537e-06 	 1.613e-07 
  35.61 	  196.91 	    2.34 	 1.045e-03 	 8.422e-05 	 1.188e-05 	 3.887e-07 	 2.476e-06 	 2.012e-07 
  38.16 	  203.42 	    2.59 	 1.160e-03 	 9.054e-05 	 1.211e-05 	 3.969e-07 	 2.509e-06 	 2.288e-07 
  40.71 	  207.14 	    2.85 	 1.279e-03 	 1.018e-04 	 1.205e-05 	 5.765e-07 	 2.534e-06 	 2.903e-07 
  43.25 	  202.75 	    2.55 	 1.222e-03 	 8.552e-05 	 1.239e-05 	 5.757e-07 	 2.588e-06 	 3.279e-07 
  45.79 	  194.22 	    2.13 	 1.232e-03 	 7.539e-05 	 1.272e-05 	 6.579e-07 	 2.626e-06 	 3.858e-07 
  48.31 	  184.76 	    2.00 	 1.279e-03 	 8.402e-05 	 1.276e-05 	 8.484e-07 	 2.599e-06 	 4.620e-07 
  50.83 	  175.63 	    1.76 	 1.344e-03 	 7.692e-05 	 1.276e-05 	 6.901e-07 	 2.557e-06 	 5.073e-07 
  53.35 	  167.25 	    2.06 	 1.306e-03 	 8.262e-05 	 1.286e-05 	 8.279e-07 	 2.497e-06 	 5.621e-07 
  55.86 	  160.58 	    2.86 	 1.397e-03 	 8.034e-05 	 1.310e-05 	 1.184e-06 	 2.459e-06 	 6.688e-07 
  58.36 	  156.39 	    3.83 	 1.598e-03 	 1.303e-04 	 1.379e-05 	 1.428e-06 	 2.550e-06 	 8.638e-07 
  60.85 	  155.80 	    4.76 	 1.652e-03 	 1.704e-04 	 1.501e-05 	 1.479e-06 	 2.798e-06 	 1.174e-06 
  63.34 	  159.90 	    5.44 	 1.805e-03 	 1.872e-04 	 1.655e-05 	 2.425e-06 	 3.153e-06 	 1.592e-06 
  65.81 	  166.37 	    5.74 	 2.021e-03 	 2.281e-04 	 1.809e-05 	 3.162e-06 	 3.738e-06 	 2.208e-06 
  68.29 	  168.43 	    5.81 	 2.268e-03 	 3.057e-04 	 1.965e-05 	 3.890e-06 	 4.618e-06 	 3.078e-06 
  70.75 	  163.84 	    5.70 	 2.413e-03 	 4.083e-04 	 2.172e-05 	 5.415e-06 	 5.655e-06 	 4.008e-06 
  73.21 	  155.60 	    5.40 	 2.428e-03 	 5.022e-04 	 2.397e-05 	 7.044e-06 	 6.944e-06 	 5.125e-06 
  75.65 	  145.63 	    4.89 	 2.563e-03 	 5.851e-04 	 2.672e-05 	 8.733e-06 	 8.574e-06 	 6.563e-06 
  78.09 	  136.69 	    4.28 	 2.813e-03 	 7.318e-04 	 3.098e-05 	 1.190e-05 	 1.010e-05 	 7.969e-06 
  80.52 	  133.02 	    4.72 	 3.184e-03 	 1.084e-03 	 3.786e-05 	 1.745e-05 	 1.180e-05 	 9.830e-06 
  82.95 	  131.42 	    5.89 	 3.650e-03 	 1.725e-03 	 4.639e-05 	 2.458e-05 	 1.261e-05 	 1.120e-05 
  85.37 	  130.63 	    7.36 	 3.668e-03 	 2.085e-03 	 5.309e-05 	 3.273e-05 	 1.065e-05 	 9.479e-06 
  87.79 	  131.77 	    9.19 	 2.817e-03 	 1.408e-03 	 4.020e-05 	 2.380e-05 	 7.344e-06 	 5.750e-06 
