FilaName 	 Orbit 	 I/E  	 Pos 	 F/P 	 Ls 	 Loct 	 Lat 	 Lon 
mir_2a_orb001849_n1_e_p1_04_f 	 001849 	 e 	 04 	 f 	    163.990 	      2.450 	     81.700 	    136.585 
mir_2a_orb001896_n1_i_p1_04_f 	 001896 	 i 	 04 	 f 	    166.050 	     17.350 	    -57.005 	    101.671 
mir_2a_orb001954_n2_e_p1_04_f 	 001954 	 e 	 04 	 f 	    168.630 	     19.267 	     75.985 	   -102.065 
mir_2a_orb001957_n1_i_p1_04_f 	 001957 	 i 	 04 	 f 	    168.750 	     17.700 	    -40.042 	    156.407 
mir_2a_orb002229_n1_i_p1_04_f 	 002229 	 i 	 04 	 f 	    181.120 	      6.200 	     77.793 	     91.763 
mir_2a_orb002302_n2_e_p1_04_f 	 002302 	 e 	 04 	 f 	    184.530 	      5.850 	    -51.342 	    144.365 
mir_2a_orb002304_n1_i_p1_04_f 	 002304 	 i 	 04 	 f 	    184.610 	     15.067 	     86.901 	   -125.357 
mir_2a_orb002406_n1_i_p1_04_f 	 002406 	 i 	 04 	 f 	    189.410 	     16.933 	     74.878 	   -142.130 
mir_2a_orb002411_n1_e_p1_04_f 	 002411 	 e 	 04 	 f 	    189.670 	      5.200 	    -71.304 	   -111.752 
mir_2a_orb002493_n1_e_p1_04_f 	 002493 	 e 	 04 	 f 	    193.570 	      3.083 	    -81.852 	     25.086 
mir_2a_orb002500_n1_i_p1_04_f 	 002500 	 i 	 04 	 f 	    193.890 	     17.183 	     62.814 	     45.793 
mir_2a_orb002556_n1_i_p1_04_f 	 002556 	 i 	 04 	 f 	    196.590 	     17.350 	     52.425 	   -118.002 
mir_2a_orb002556_n2_e_p1_04_f 	 002556 	 e 	 04 	 f 	    196.600 	     21.450 	    -81.238 	    -65.743 
mir_2a_orb002593_n2_e_p1_04_f 	 002593 	 e 	 04 	 f 	    198.390 	     19.800 	    -73.567 	    -71.037 
mir_2a_orb002628_n2_e_p1_04_f 	 002628 	 e 	 04 	 f 	    200.090 	     19.000 	    -60.671 	     -5.811 
mir_2a_orb002633_n1_i_p1_04_f 	 002633 	 i 	 04 	 f 	    200.330 	     17.750 	     22.197 	   -162.096 
mir_2a_orb002890_n2_e_p1_04_f 	 002890 	 e 	 04 	 f 	    213.010 	      6.850 	     42.337 	   -125.002 
mir_2a_orb002892_n1_i_p1_04_f 	 002892 	 i 	 04 	 f 	    213.100 	      4.167 	    -62.518 	    144.948 
mir_2a_orb002923_n1_i_p1_04_f 	 002923 	 i 	 04 	 f 	    214.660 	      3.183 	    -69.644 	    -38.386 
mir_2a_orb002923_n2_e_p1_04_f 	 002923 	 e 	 04 	 f 	    214.670 	      7.267 	     52.000 	     14.302 
mir_2a_orb002956_n2_e_p1_04_f 	 002956 	 e 	 04 	 f 	    216.330 	      7.667 	     57.879 	    153.741 
