	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	 26.1630 	 5.783037e-01 	 218.9721 	  4.4754 	 1.916098e+22 	 4.016843e+20 	 9.960872e-05 	 7.421434e-06 	  3.5587 	  0.6502 	  0.8054 	  0.1640 
	 26.3000 	 5.713576e-01 	 219.0166 	  4.2857 	 1.892323e+22 	 3.801812e+20 	 9.530936e-05 	 7.205315e-06 	  3.5866 	  0.6382 	  0.8151 	  0.1618 
	 26.4380 	 5.644528e-01 	 219.0805 	  4.1010 	 1.868596e+22 	 3.595657e+20 	 9.136616e-05 	 6.969737e-06 	  3.6140 	  0.6265 	  0.8245 	  0.1596 
	 26.5750 	 5.576881e-01 	 219.1619 	  3.9241 	 1.845263e+22 	 3.401091e+20 	 8.783495e-05 	 6.727913e-06 	  3.6404 	  0.6152 	  0.8335 	  0.1575 
	 26.7120 	 5.510119e-01 	 219.2603 	  3.7535 	 1.822153e+22 	 3.216311e+20 	 8.467692e-05 	 6.485964e-06 	  3.6660 	  0.6042 	  0.8422 	  0.1553 
	 27.6170 	 5.090537e-01 	 220.2710 	  2.7819 	 1.675228e+22 	 2.221850e+20 	 7.187489e-05 	 5.162011e-06 	  3.8130 	  0.5663 	  0.8889 	  0.1410 
	 27.7530 	 5.030578e-01 	 220.4671 	  2.6588 	 1.654030e+22 	 2.103412e+20 	 7.093542e-05 	 5.017309e-06 	  3.8313 	  0.5651 	  0.8942 	  0.1388 
	 27.8900 	 4.970964e-01 	 220.6737 	  2.5406 	 1.632913e+22 	 1.991515e+20 	 7.019314e-05 	 4.885064e-06 	  3.8486 	  0.5636 	  0.8990 	  0.1366 
	 28.0270 	 4.912125e-01 	 220.8884 	  2.4284 	 1.612037e+22 	 1.886786e+20 	 6.963890e-05 	 4.765411e-06 	  3.8648 	  0.5618 	  0.9034 	  0.1344 
	 28.1630 	 4.854473e-01 	 221.1087 	  2.3228 	 1.591553e+22 	 1.789640e+20 	 6.925914e-05 	 4.658023e-06 	  3.8796 	  0.5595 	  0.9071 	  0.1322 
	 29.0900 	 4.480710e-01 	 222.7300 	  1.7528 	 1.458431e+22 	 1.287570e+20 	 7.012022e-05 	 4.141458e-06 	  3.9467 	  0.5293 	  0.9183 	  0.1229 
	 29.2260 	 4.428564e-01 	 222.9750 	  1.6908 	 1.439875e+22 	 1.234334e+20 	 7.065039e-05 	 4.108470e-06 	  3.9513 	  0.5231 	  0.9178 	  0.1229 
	 29.3620 	 4.377074e-01 	 223.2192 	  1.6340 	 1.421573e+22 	 1.185538e+20 	 7.140289e-05 	 4.164364e-06 	  3.9545 	  0.5199 	  0.9166 	  0.1236 
