	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	  2.9670 	 3.117187e+00 	 140.2069 	  3.3621 	 1.611619e+23 	 3.939237e+21 	 3.996407e-09 	 4.005772e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  3.1930 	 3.020235e+00 	 139.6529 	  3.0260 	 1.567904e+23 	 3.472292e+21 	 4.072430e-09 	 3.821000e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  3.4180 	 2.926541e+00 	 139.1894 	  2.7223 	 1.524426e+23 	 3.057411e+21 	 3.945010e-09 	 3.539803e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  3.6430 	 2.835620e+00 	 138.8171 	  2.4480 	 1.481047e+23 	 2.689194e+21 	 3.664308e-09 	 3.190117e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  3.8690 	 2.747037e+00 	 138.5379 	  2.2007 	 1.437632e+23 	 2.363068e+21 	 3.277758e-09 	 2.798657e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  4.1870 	 2.626953e+00 	 138.3125 	  1.8979 	 1.376921e+23 	 1.972134e+21 	 2.652288e-09 	 2.235044e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  4.4130 	 2.544782e+00 	 138.2756 	  1.7128 	 1.334120e+23 	 1.738133e+21 	 2.218096e-09 	 1.864864e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  4.6380 	 2.465538e+00 	 138.3444 	  1.5517 	 1.291858e+23 	 1.537669e+21 	 1.850640e-09 	 1.553928e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  4.8630 	 2.388801e+00 	 138.5216 	  1.4123 	 1.250001e+23 	 1.366412e+21 	 1.597230e-09 	 1.329007e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  5.0890 	 2.314198e+00 	 138.8120 	  1.2927 	 1.208424e+23 	 1.220548e+21 	 1.507207e-09 	 1.218403e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  5.4030 	 2.214572e+00 	 139.4085 	  1.1580 	 1.151537e+23 	 1.055288e+21 	 1.749379e-09 	 1.310650e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  5.6270 	 2.146296e+00 	 139.9745 	  1.0821 	 1.111663e+23 	 9.596603e+20 	 2.246166e-09 	 1.587447e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  5.8520 	 2.080012e+00 	 140.6403 	  1.0209 	 1.072386e+23 	 8.791498e+20 	 2.989214e-09 	 2.021331e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  6.0770 	 2.016003e+00 	 141.3597 	  0.9725 	 1.034175e+23 	 8.119981e+20 	 3.863894e-09 	 2.536228e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  6.3010 	 1.954508e+00 	 142.0844 	  0.9345 	 9.974866e+22 	 7.562306e+20 	 4.749825e-09 	 3.052445e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  6.6080 	 1.873788e+00 	 143.0104 	  0.8949 	 9.499249e+22 	 6.937968e+20 	 5.778372e-09 	 3.626048e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  6.8320 	 1.817449e+00 	 143.5788 	  0.8722 	 9.175847e+22 	 6.555968e+20 	 6.244107e-09 	 3.847709e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  7.0560 	 1.763163e+00 	 144.0302 	  0.8530 	 8.873186e+22 	 6.219913e+20 	 6.434221e-09 	 3.881503e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  7.2800 	 1.710758e+00 	 144.3655 	  0.8369 	 8.589384e+22 	 5.924241e+20 	 6.416264e-09 	 3.775749e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  7.5040 	 1.660060e+00 	 144.5867 	  0.8236 	 8.322462e+22 	 5.663735e+20 	 6.261668e-09 	 3.581421e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  7.8280 	 1.589396e+00 	 144.7085 	  0.8084 	 7.962212e+22 	 5.338548e+20 	 5.941495e-09 	 3.247233e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  8.0520 	 1.542146e+00 	 144.6590 	  0.8003 	 7.728238e+22 	 5.142129e+20 	 5.752915e-09 	 3.050166e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  8.2760 	 1.496111e+00 	 144.5184 	  0.7937 	 7.504574e+22 	 4.964124e+20 	 5.652686e-09 	 2.916723e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  8.5000 	 1.451322e+00 	 144.3190 	  0.7887 	 7.289729e+22 	 4.801623e+20 	 5.672387e-09 	 2.853738e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  8.7240 	 1.407815e+00 	 144.0941 	  0.7852 	 7.082222e+22 	 4.651765e+20 	 5.842749e-09 	 2.867104e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  9.0280 	 1.350880e+00 	 143.8075 	  0.7826 	 6.809692e+22 	 4.463493e+20 	 6.369944e-09 	 3.017916e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  9.2520 	 1.310526e+00 	 143.6531 	  0.7822 	 6.613655e+22 	 4.332158e+20 	 7.015893e-09 	 3.234094e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  9.4760 	 1.271504e+00 	 143.5656 	  0.7827 	 6.420758e+22 	 4.204696e+20 	 7.887194e-09 	 3.534447e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  9.7000 	 1.233725e+00 	 143.5425 	  0.7836 	 6.230970e+22 	 4.079809e+20 	 8.961039e-09 	 3.902378e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  9.9240 	 1.197098e+00 	 143.5803 	  0.7845 	 6.044292e+22 	 3.956231e+20 	 1.021348e-08 	 4.320812e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 10.2430 	 1.146746e+00 	 143.7326 	  0.7845 	 5.783815e+22 	 3.780009e+20 	 1.225818e-08 	 4.970239e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 10.4670 	 1.112536e+00 	 143.9038 	  0.7831 	 5.604698e+22 	 3.654466e+20 	 1.384369e-08 	 5.440341e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 10.6900 	 1.079376e+00 	 144.1163 	  0.7808 	 5.429843e+22 	 3.529278e+20 	 1.550645e-08 	 5.903186e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 10.9130 	 1.047135e+00 	 144.3544 	  0.7790 	 5.259133e+22 	 3.407882e+20 	 1.720780e-08 	 6.349127e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 11.1370 	 1.015707e+00 	 144.6023 	  0.7793 	 5.092542e+22 	 3.293895e+20 	 1.890934e-08 	 6.768326e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 11.4490 	 9.735834e-01 	 144.9306 	  0.7859 	 4.870010e+22 	 3.156236e+20 	 2.117929e-08 	 7.282020e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 11.6710 	 9.448189e-01 	 145.1301 	  0.7967 	 4.719331e+22 	 3.078561e+20 	 2.266570e-08 	 7.583205e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 11.8940 	 9.169240e-01 	 145.2971 	  0.8124 	 4.574487e+22 	 3.016570e+20 	 2.410217e-08 	 7.846476e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 12.1170 	 8.899719e-01 	 145.4407 	  0.8301 	 4.435521e+22 	 2.963889e+20 	 2.563677e-08 	 8.112795e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 12.3390 	 8.640174e-01 	 145.5714 	  0.8472 	 4.302339e+22 	 2.913750e+20 	 2.742003e-08 	 8.424200e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 12.6490 	 8.291250e-01 	 145.7538 	  0.8648 	 4.123708e+22 	 2.834485e+20 	 3.063504e-08 	 9.017921e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
