	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	  4.3610 	 4.246952e+00 	 159.2375 	 11.2803 	 1.919362e+23 	 1.415112e+22 	 9.131046e-07 	 1.136587e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  4.4970 	 4.181211e+00 	 159.8066 	 11.1927 	 1.884699e+23 	 1.375030e+22 	 1.115048e-06 	 1.246675e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  6.6040 	 3.280829e+00 	 168.1069 	  9.5255 	 1.416641e+23 	 8.499639e+21 	 1.012088e-05 	 1.708525e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  6.7400 	 3.229906e+00 	 168.6148 	  9.4016 	 1.390608e+23 	 8.218794e+21 	 1.116269e-05 	 1.821649e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  6.8760 	 3.179802e+00 	 169.1200 	  9.2762 	 1.365050e+23 	 7.944524e+21 	 1.226140e-05 	 1.934002e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  7.0110 	 3.130869e+00 	 169.6189 	  9.1503 	 1.340143e+23 	 7.678694e+21 	 1.340685e-05 	 2.044130e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  7.1470 	 3.082373e+00 	 170.1189 	  9.0221 	 1.315512e+23 	 7.417287e+21 	 1.461421e-05 	 2.153055e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  9.2300 	 2.433366e+00 	 177.5464 	  6.9437 	 9.920084e+22 	 4.157475e+21 	 3.782104e-05 	 3.297663e-06 	  3.6811 	  0.6604 	  0.8295 	  0.1458 
	  9.3650 	 2.396959e+00 	 178.0180 	  6.8052 	 9.742600e+22 	 3.990662e+21 	 3.950477e-05 	 3.335203e-06 	  3.6878 	  0.6451 	  0.8273 	  0.1419 
	  9.5000 	 2.361190e+00 	 178.4891 	  6.6667 	 9.568713e+22 	 3.828807e+21 	 4.120481e-05 	 3.370155e-06 	  3.6958 	  0.6306 	  0.8252 	  0.1381 
	  9.6350 	 2.326050e+00 	 178.9597 	  6.5282 	 9.398366e+22 	 3.671831e+21 	 4.292429e-05 	 3.403293e-06 	  3.7052 	  0.6169 	  0.8234 	  0.1346 
