	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	 17.9710 	 7.527338e-01 	 197.5939 	  5.0031 	 2.761665e+22 	 7.157663e+20 	 1.772410e-04 	 2.124173e-05 	  3.9391 	  0.8892 	 -1000.0000 	 -1000.0000 
	 18.1010 	 7.431765e-01 	 197.4785 	  4.9300 	 2.728193e+22 	 6.972219e+20 	 1.784789e-04 	 2.091535e-05 	  3.9180 	  0.8894 	 -1000.0000 	 -1000.0000 
	 18.2310 	 7.337372e-01 	 197.3646 	  4.8537 	 2.695096e+22 	 6.786341e+20 	 1.795822e-04 	 2.048291e-05 	  3.8994 	  0.8893 	 -1000.0000 	 -1000.0000 
	 18.3610 	 7.244146e-01 	 197.2521 	  4.7742 	 2.662370e+22 	 6.600221e+20 	 1.805292e-04 	 1.998568e-05 	  3.8833 	  0.8886 	 -1000.0000 	 -1000.0000 
	 18.8540 	 6.901003e-01 	 196.8403 	  4.4476 	 2.541566e+22 	 5.895613e+20 	 1.825263e-04 	 1.808156e-05 	  3.8451 	  0.8975 	 -1000.0000 	 -1000.0000 
	 18.9840 	 6.813202e-01 	 196.7357 	  4.3557 	 2.510564e+22 	 5.711031e+20 	 1.826260e-04 	 1.767321e-05 	  3.8414 	  0.9075 	 -1000.0000 	 -1000.0000 
	 19.1130 	 6.727159e-01 	 196.6336 	  4.2624 	 2.480145e+22 	 5.528742e+20 	 1.825557e-04 	 1.732800e-05 	  3.8405 	  0.9165 	 -1000.0000 	 -1000.0000 
	 19.2430 	 6.641528e-01 	 196.5326 	  4.1666 	 2.449835e+22 	 5.346112e+20 	 1.823198e-04 	 1.704380e-05 	  3.8425 	  0.9248 	 -1000.0000 	 -1000.0000 
	 19.3720 	 6.557615e-01 	 196.4342 	  4.0697 	 2.420095e+22 	 5.166140e+20 	 1.819284e-04 	 1.682499e-05 	  3.8475 	  0.9323 	 -1000.0000 	 -1000.0000 
	 19.8640 	 6.247036e-01 	 196.0764 	  3.6881 	 2.309684e+22 	 4.494585e+20 	 1.791054e-04 	 1.650059e-05 	  3.8937 	  0.9574 	 -1000.0000 	 -1000.0000 
